"","x"
"720","PRELID3A"
"721","MTX2"
"722","YKT6"
"723","FARS2"
"724","YME1L1"
"725","ZBTB6"
"726","MTHFD2"
"727","CLPX"
"728","POLR1G"
"729","PGRMC1"
"730","ADAM28"
"731","ME3"
"732","MRPS30"
"733","PPARGC1A"
"734","JTB"
"735","DHRS4"
"736","BRD8"
"737","FASTK"
"738","RALBP1"
"739","PRDX3"
"740","AFG3L2"
"741","STARD3"
"742","TOMM34"
"743","ACOT2"
"744","UQCR11"
"745","RAB32"
"746","IMMT"
"747","SDS"
"748","SLC27A3"
"749","LIAS"
"750","TDRKH"
"751","DEPP1"
"752","TRIM31"
"753","TPPP"
"754","HIBADH"
"755","CAPN10"
"756","PLAAT3"
"757","NUDT6"
"758","ABCB8"
"759","AKAP10"
"760","MRPL3"
"761","POLG2"
"762","CA5B"
"763","SP140"
"764","PNKP"
"765","PARK7"
"766","GPN1"
"767","PHB2"
"768","ACOT7"
"769","TUSC2"
"770","PPM1E"
"771","FASTKD2"
"772","MLXIP"
"773","TRAK1"
"774","DHX30"
"775","MSRB2"
"776","VWA8"
"777","KIF1B"
"778","SARM1"
"779","MRPS27"
"780","SPART"
"781","GRAMD4"
"782","LPIN1"
"783","DIP2A"
"784","PMPCA"
"785","SYNE2"
"786","VPS13A"
"787","PACS2"
"788","AGTPBP1"
"789","ACSL6"
"790","NCSTN"
"791","LARS2"
"792","SIRT5"
"793","SIRT4"
"794","SIRT3"
"795","SIRT1"
"796","MLYCD"
"797","TDRD7"
"798","HARS2"
"799","SLC44A1"
"800","ABCB10"
"801","GCAT"
"802","ETHE1"
"803","ISCU"
"804","NNT"
"805","DDAH2"
"806","ARL2BP"
"807","CASP14"
"808","PDSS1"
"809","HEBP2"
"810","ACOT9"
"811","AMACR"
"812","PPP1R15A"
"813","RAB38"
"814","GABARAPL1"
"815","PISD"
"816","MAFF"
"817","FKBP8"
"818","BCL2L13"
"819","MTCH1"
"820","MTCH2"
"821","FBXO7"
"822","SAMM50"
"823","NOCT"
"824","MTO1"
"825","PRDX5"
"826","TXN2"
"827","SULT4A1"
"828","MPC2"
"829","LETMD1"
"830","TMEM186"
"831","MTHFD1L"
"832","C1orf43"
"833","NDUFAF3"
"834","CLIC4"
"835","NIPSNAP3A"
"836","PNKD"
"837","KANK2"
"838","NUDT13"
"839","PARS2"
"840","NGDN"
"841","HIGD1A"
"842","REXO2"
"843","PTCD1"
"844","ACOT11"
"845","RAB11FIP5"
"846","POLDIP2"
"847","KIFBP"
"848","MTG2"
"849","STAP1"
"850","FBXL4"
"851","HIBCH"
"852","SACS"
"853","ERAL1"
"854","MYCBP"
